,maxtemp,temp,humid,cloud,wind,country,date,lon,lat,cityname
133,2.14,2.14,95,9,1.86,NO,1618687705,12.3778,64.2457,snasa
134,12.22,11.21,81,100,1.0,RU,1618687706,37.2178,54.8664,protvino
135,31.0,31.0,70,40,5.14,GY,1618687706,-59.7833,8.2,mabaruma
136,22.3,22.3,97,100,0.94,ID,1618687706,104.9744,-5.3582,pringsewu
137,4.44,3.15,58,100,0.45,US,1618687707,-105.1169,39.5773,ken caryl
138,13.0,12.27,62,70,7.2,AU,1618687552,147.3294,-42.8794,hobart
139,14.1,14.1,79,5,2.08,AU,1618687707,135.8667,-34.7333,port lincoln
140,10.45,10.45,88,100,7.34,RU,1618687613,31.8996,54.4299,sobolevo
141,13.33,12.46,44,40,6.69,US,1618687707,-72.8521,40.7668,mastic beach
142,27.62,27.62,74,11,5.18,PF,1618687708,-151.0167,-16.7,fare
143,35.22,35.22,7,19,4.82,LY,1618687708,21.5482,29.0331,jalu
144,-30.0,-30.0,96,77,1.32,RU,1618687708,88.3972,69.4865,talnakh
145,24.0,21.68,94,90,3.09,RE,1618687709,55.7679,-21.3585,saint-philippe
146,-3.0,-3.0,86,75,1.31,GL,1618687709,-37.6368,65.6145,tasiilaq
147,10.0,10.0,37,0,1.54,FR,1618687709,5.1333,48.1167,chaumont
148,15.0,15.0,47,100,2.06,UZ,1618687709,71.7189,40.4272,komsomolskiy
149,28.0,28.0,69,40,4.63,BR,1618687549,-35.7353,-9.6658,maceio
150,22.89,22.89,73,24,4.48,PE,1618687710,-77.6139,-11.0964,hualmay
151,4.48,4.48,74,0,2.64,CN,1618687710,124.3947,40.1292,dandong
152,-8.81,-8.81,89,26,5.78,RU,1618687711,57.5281,65.9939,usinsk
153,13.33,12.96,62,90,4.12,US,1618687625,-76.5119,38.8876,mayo
154,-14.16,-14.16,95,54,2.1,RU,1618687711,102.2797,60.34,vanavara
155,17.04,17.04,47,81,1.66,ZA,1618687711,24.7314,-34.0033,kruisfontein
156,11.31,11.31,92,21,3.12,AU,1618687712,141.9667,-38.2667,codrington
157,18.91,18.91,40,77,3.59,UZ,1618687712,63.45,40.1333,gazli
158,15.56,15.19,63,0,3.09,PT,1618687712,-8.6151,41.5388,barcelos
159,6.0,6.0,49,24,2.06,CA,1618687712,-133.7218,68.3499,inuvik
160,4.0,4.0,48,20,1.54,CA,1618687713,-135.0107,68.2191,aklavik
161,-9.08,-9.08,91,100,5.54,RU,1618687713,53.1512,67.6803,iskateley
162,3.0,3.0,81,20,1.0,RU,1618687444,39.8302,64.5635,severodvinsk
163,20.57,20.57,84,20,2.86,ZM,1618687714,28.734,-9.3451,nchelenge
164,21.87,21.87,66,0,3.47,UY,1618687714,-53.4616,-33.6971,chuy
165,25.0,23.9,28,0,0.45,US,1618687523,-122.6762,45.5234,portland
166,25.75,25.75,89,100,3.19,PG,1618687714,143.2092,-9.0763,daru
167,25.53,25.53,38,24,0.92,NA,1618687715,15.1594,-26.6481,luderitz
168,17.78,17.78,88,6,1.34,AU,1618687581,152.8535,-25.2986,hervey bay
169,10.0,10.0,46,20,4.63,SE,1618687715,15.276,56.21,ronneby
170,17.5,17.5,12,100,1.86,CN,1618687715,93.45,42.8,hami
171,11.67,11.67,94,24,1.79,NZ,1618687716,173.7833,-35.1,kaeo
172,20.04,20.04,39,100,9.3,AR,1618687716,-65.1023,-43.3002,rawson
173,8.33,8.33,88,6,1.72,RU,1618687716,57.5556,54.2167,inzer
174,-13.0,-13.0,78,40,5.66,CA,1618687716,-68.5914,70.4692,clyde river
175,28.0,28.0,72,99,4.4,PF,1618687576,-151.75,-16.4833,faanui
176,25.18,25.18,48,40,2.86,AR,1618687717,-66.3356,-33.295,san luis
177,26.0,25.42,65,75,5.14,BR,1618687717,-51.325,-30.1139,guaiba
